영업 내용,영업일,신규or기존,지역그룹,거래처,거래처 담당자,담당자,상태,영업 제품,업무 내용,Action_Type,검토상태
보은 한양병원 신규 아이템 소개,2025/12/19,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,수술실은 지연될 듯함. 내과과장 퇴사 예정인데 아직 못 구함. ER 과장은 1~2월쯤 온다고함.,,완료
청주 다나여성병원 샘플 제공,2025/12/19,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,아티센셜 트로카 (https://app.notion.com/p/162337a43f8342289a19e28dd02b660f?pvs=21),"블레이드 트로카 샘플 제공. 리가슈어 외 디테일 설명. 
[제공 샘플] 트로카",,완료
오창 호수병원 신규 아이템 소개,2025/12/19,신규 병원,세종충북,오창호수병원 (https://app.notion.com/p/3b5fd9fcb8cd817aba85c5616a2e4edd?pvs=21),정형외과 원장,이재덕,영업완료,,오후 늦게 방문하면 가끔 면담가능하다 하여 방문해봄. 하이겐트(Hygent) 디테일 설명. 처음 본다고 하심. 반응은 나쁘지 않았음.,,완료
청주 방서미즈닥터 샘플 제공,2025/12/18,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장,이재덕,영업완료,,"폼드레싱 제공, 오 원장님 견적비교하고 있다고함.",,완료
청주 아산웰통증 신규 아이템 소개,2025/12/18,신규 병원,세종충북,청주 아산웰통증 (https://app.notion.com/p/3b5fd9fcb8cd8174a3dded25646ac64b?pvs=21),통증 원장,이재덕,영업완료,,기 제공 블록 키트 외 디테일 설명함. 지속방문예정,,완료
청주 마디사랑 정보 수집,2025/12/18,신규 병원,세종충북,청주 마디사랑 (https://app.notion.com/p/3b5fd9fcb8cd81d2b24befa99c778b55?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,이지큐 본드 N (EG-Q BOND N) (https://app.notion.com/p/N-EG-Q-BOND-N-3b2fd9fcb8cd81e6a475e02f7051135c?pvs=21),"하이겐트(Hygent) 가격으로인해 사용 어렵다 함. 이지큐본드(EzQbond) 디테일 
[제공 샘플] 이지큐본드(EzQbond) 외",,완료
청주 해피맘obgy 정보 수집,2025/12/18,신규 병원,세종충북,청주 해피맘산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81949511cef53cb9b9df?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,자이네콜라(Gynecola) 디테일 설명. 원장님께 말씀해본다고 하심.,,완료
제천 한기정obgy 정보 수집,2025/12/17,신규 병원,세종충북,제천 한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81dfb5bee4665f9333a4?pvs=21),산부인과 원장,이재덕,영업완료,,자이네콜라(Gynecola) 샘플 추가제공. 병원 전체견적 여쭤봤으나 아직이라고함. 지속방문 예정.,,완료
충주 건대 정보 수집,2025/12/17,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),산부인과 교수,이재덕,영업완료,,현재 류기성교수만 남아있음. 정대영교수가 키맨이었으나 없음. 면담 안 됨.,,완료
충주 제통의원 신규 아이템 소개,2025/12/17,신규 병원,세종충북,충주 제통의원 (https://app.notion.com/p/3b5fd9fcb8cd810ca9c5e5259da5c75a?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,소공포 디테일 설명. 여쭤본다고 함.,,완료
청주 닥터연여성의원 정보 수집,2025/12/17,신규 병원,세종충북,청주 닥터연여성의원 (https://app.notion.com/p/3b5fd9fcb8cd8181bd33df814e636f73?pvs=21),"산부인과 팀장님, 원장",이재덕,영업완료,,미즈닥터 선생님 소개로 방문하게됨. 같은방식으로 명세서 보내주기로함. 가다실은 취급안하냐고함. 수요가 많다고함. 원장님은 인사만 드림.,,완료
청주 서울든든한마취통증 신규 아이템 소개,2025/12/17,신규 병원,세종충북,청주 서울든든한마취통증 (https://app.notion.com/p/3b5fd9fcb8cd8160aed2c6d9b4966563?pvs=21),정형외과 원장,이재덕,영업완료,,면담 안 됨.,,완료
청주 하임브릿지os 정보 수집,2025/12/17,신규 병원,세종충북,청주 하임브릿지정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81a7a092f92fc847e997?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,소공포 외 블록 키트 디테일 설명함. 원장님 큰 관심 없다 하심.,,완료
청주 미앤유gs 정보 수집,2025/12/17,신규 병원,세종충북,청주 미앤유외과 (https://app.notion.com/p/3b5fd9fcb8cd8177a266c075c5dea93e?pvs=21),일반외과 원장,이재덕,영업완료,,금일 오후 휴진. 맘모톰을 한다고해서 방문했으나 환자는 많지 않은 듯함. 재방문 예정.,,완료
청주 cnc재활 정보 수집,2025/12/17,신규 병원,세종충북,청주 cnc재활 (https://app.notion.com/p/cnc-3b5fd9fcb8cd81e79c44cfcdad3b73af?pvs=21),재활 원장,이재덕,영업완료,,원장님 인사 드림.,,완료
진천 미래마취통증 정보 수집,2025/12/16,신규 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,기존발송 견적확인 및 팬코 카탈로그 제품 서베이 예정.,,완료
오창 호수병원 신규 아이템 소개,2025/12/16,신규 병원,세종충북,오창호수병원 (https://app.notion.com/p/3b5fd9fcb8cd817aba85c5616a2e4edd?pvs=21),"관리팀 수간호사, 구매",이재덕,영업완료,,하이겐트(Hygent) 디테일 설명. 원장님 수술스케줄로 못뵘.,,완료
오창 미즈obgy 정보 수집,2025/12/16,신규 병원,세종충북,오창 미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81ad8c06d266ccd490bf?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,바이옵시 사용예정 없음. 듀얼튤립 디테일 설명.,,완료
오창 중앙병원 신규 아이템 소개,2025/12/16,신규 병원,세종충북,오창 중앙병원 (https://app.notion.com/p/3b5fd9fcb8cd817a8f99ec0703276ecd?pvs=21),"관리팀 구매팀, 구매",이재덕,영업완료,,하이겐트(Hygent) 디테일 설명. 수술 거의 없다고함.,,완료
청주 한국병원 샘플 제공,2025/12/16,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 과장,이재덕,영업완료,,미인드레이 니들홀더 데모전달. 타 과장님들과 의견 나누기로함.,,완료
청주 뿌리병원 정보 수집,2025/12/16,신규 병원,세종충북,청주 뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81b185fac4f409ea671f?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent) 타사 안들어왔음. 지속 디테일 예정.,,완료
청주 서로손병원 신규 아이템 소개,2025/12/16,신규 병원,세종충북,청주 서로손병원 (https://app.notion.com/p/3b5fd9fcb8cd816693d6ced582fb2448?pvs=21),Fm 원장,이재덕,영업완료,,"소공포, 소노젤 디테일 설명. 사용량 많치안음.",,완료
청주 방서미즈박터 정보 수집,2025/12/16,신규 병원,세종충북,청주 방서미즈닥터병원 (https://app.notion.com/p/3b5fd9fcb8cd8169a3adff9387873e44?pvs=21),산부인과 간호사,이재덕,영업완료,,이지브라는 아직 사용전. 마무통환자가 아직 없음. 밴드 외 기타 품목 상담. 타 병원 소개받음. 방문예정.,,완료
청주 쉬즈산부인과 신규 아이템 소개,2025/12/16,신규 병원,세종충북,청주 쉬즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81af9548f368cff5d5d9?pvs=21),산부인과 원장,이재덕,영업완료,,면담 안 됨.,,완료
청주 하나병원 신규 아이템 소개,2025/12/15,기존 병원,세종충북,청주 하나병원 (https://app.notion.com/p/00b1783b8c6f4791ba486e1bed98675d?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,"폴리킷 디테일, 전달하겠다고 이야기함.",,완료
청주 뿌리병원 신규 아이템 소개,2025/12/15,신규 병원,세종충북,청주 뿌리병원 (https://app.notion.com/p/3b5fd9fcb8cd81b185fac4f409ea671f?pvs=21),"관리팀 구매팀, 구매",이재덕,영업완료,,이지큐본드(EzQbond) 디테일 설명. 타제폼 사용중임. 다른아이템으로 지속 디테일 예정.,,완료
청주 한국병원 샘플 제공,2025/12/15,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 과장님,이재덕,영업완료,,니들홀더 전달하려했으나 수술들어가심. 내일 재방문예정임.,,완료
청주 마디사랑병원 정보 수집,2025/12/15,신규 병원,세종충북,청주 마디사랑병원 (https://app.notion.com/p/3b5fd9fcb8cd810f949dc3ed4d33b6b5?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,하이겐트(Hygent) 진행상황 알아보려했으나 회의들어감. 통화못함. 재방문 예정.,,완료
청주 다나여성병원 샘플 제공,2025/12/15,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,마이드레이 트로카샘플제공. 기존 세종제품비교. 블레이드 10파이제품으로 샘플제공예정.,,완료
영동 영동병원 정보 수집,2025/12/15,신규 병원,세종충북,영동 영동병원 (https://app.notion.com/p/3b5fd9fcb8cd81419926c7f24a311975?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,금일도 방문예약 통화하였으나 필요할때 연락주다고함. 방문드리겠다고 말함. 아이템을 소개하면 기존거래처 알아보고 확인하는거 같음. 이번주 중 인사는 드리러 갈 예정임.,,완료
청주 한국h 신규 아이템 소개,2025/12/12,기존 병원,세종충북,청주 한국병원 (https://app.notion.com/p/ef784b1524834c199045e535d8e75bdd?pvs=21),일반외과 과장,이재덕,영업완료,,마인드레이 니들홀더 데모하기로함.,,완료
청주 다나여성병원 신규 아이템 소개,2025/12/12,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,마인드레이 트로카외 견적요청,,완료
청주 21세기병원 신규 아이템 소개,2025/12/12,신규 병원,세종충북,청주21세기병원 (https://app.notion.com/p/21-3b5fd9fcb8cd811c956cd4c532c429a2?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,블록 키트 디테일 설명함. 사용중이라고함.,,완료
보은 한양병원 신규 아이템 소개,2025/12/12,신규 병원,세종충북,보은한양병원 (https://app.notion.com/p/3b5fd9fcb8cd81b4b358df27f0e822d8?pvs=21),"관리팀 구매과, 구매",이재덕,영업완료,,폴리킷 디테일 설명. 내과 원장님 알아봐달라고함.,,완료
보은 우리os 신규 아이템 소개,2025/12/12,신규 병원,세종충북,보은우리정형외과 (https://app.notion.com/p/3b5fd9fcb8cd810d8a4dcd2405eb241f?pvs=21),정형외과 사무장,이재덕,영업완료,,"하이겐트(Hygent) 디테일, 수술은 거의안함.",,완료
제천 미래산부인과 정보 수집,2025/12/11,기존 병원,세종충북,미래산부인과 (https://app.notion.com/p/3b2fd9fcb8cd814c8c1df0966b7437b2?pvs=21),산부인과 원장,이재덕,영업완료,,포괄적인 이야기함. 잘 꼬셔봐야겠음.,,완료
한기정산부인과 정보 수집,2025/12/11,신규 병원,세종충북,한기정산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81069e71df553a69b51f?pvs=21),산부인과 원장,이재덕,영업완료,,자이네콜라(Gynecola) 랜딩하려했으나 휴무일임.,,완료
제천 연세미즈산부인과 신규 아이템 소개,2025/12/11,신규 병원,세종충북,제천연세미즈산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81319d23cc6f3fa1ae21?pvs=21),산부인과 원장,이재덕,영업완료,,수금관련 상담후 원장 보려했으나 외래밀려있다고 다음에 보기로함. 시섹 수술포 일회용사용중. 세종제품 디테일 예정.,,완료
제천 서울병원 신규 아이템 소개,2025/12/11,신규 병원,세종충북,제천 서울병원 (https://app.notion.com/p/3b5fd9fcb8cd81c2b3c4d97b0a2be4b0?pvs=21),"관리팀 구매팀, 구매",이재덕,영업완료,,현재 세종제품으로 다 사용중임. 수술포 블록 키트 등 들어와있음. 아이템 선정해서 자주 방문해야겠음.,,완료
제천 노정형외과 신규 아이템 소개,2025/12/11,신규 병원,세종충북,제천 노정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81f5b72ef0d6f8bb3c35?pvs=21),정형외과 원장,이재덕,영업완료,,면담 안 됨.,,완료
충주 별산부인과 신규 아이템 소개,2025/12/11,신규 병원,세종충북,충주별산부인과 (https://app.notion.com/p/3b5fd9fcb8cd81c8898ad6579fc4d258?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,향후 신규템으로 소개드리겠다고 말함.,,완료
충주 건국대 신규 아이템 소개,2025/12/11,기존 병원,세종충북,건국대학교 충주병원 (https://app.notion.com/p/3c4ee56de1d148f59f4b8f2c63de6f08?pvs=21),"관리팀 구매팀, 구매",이재덕,영업완료,,폴리킷 디테일 설명. 타사제품사용중이며 차장님 보고후 다시 이하기 해 보겠다고함. Obgy 정대영교수는 금일 진료였으나 세미나로인해 휴무중임.,,완료
괴산 서부병원 신규 아이템 소개,2025/12/11,신규 병원,세종충북,괴산 서부병원 (https://app.notion.com/p/3b5fd9fcb8cd811da3c8c8873d8a8398?pvs=21),"관리팀 총무팀, 구매",이재덕,영업완료,,응급킷 디테일하려했으나 담당자 부재중임. 병원규모는 작으나 지역 er운영중이라 종종 방문할 예정임.,,완료
청주 아산웰마취통증 샘플 제공,2025/12/10,신규 병원,세종충북,청주 아산웰마취통증 (https://app.notion.com/p/3b5fd9fcb8cd8128bec2e01f5465f0e7?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,블록 키트 제공. 원장님께 전달후 연락준다고함.,,완료
청주 연합os 신규 아이템 소개,2025/12/10,신규 병원,세종충북,청주 연합정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81f4b152e62923c80af2?pvs=21),정형외과 원장,이재덕,영업완료,,면담 안 됨. 사무장 부재중이라 재방문예정.,,완료
청주 연세uro 신규 아이템 소개,2025/12/10,신규 병원,세종충북,청주 연세비뇨의학과 (https://app.notion.com/p/3b5fd9fcb8cd81f6a124eb729d9b503c?pvs=21),비뇨의학과 원장,이재덕,영업완료,,면담 안 됨. 안 만나 준다고함.,,완료
청주 방서미즈닥터 샘플 제공,2025/12/10,신규 병원,세종충북,청주 방서미즈닥터 (https://app.notion.com/p/3b5fd9fcb8cd814dbb17d4c90b92d185?pvs=21),산부인과 원장,이재덕,영업완료,,"이지브라, 이지큐본드(EzQbond) 샘플제공. 오후 수술후 1주일 경과 샘플할예정 주문은 다음주 정도 가능할듯함.",,완료
청주 다나여성병원 정보 수집,2025/12/10,신규 병원,세종충북,청주 다나여성병원 (https://app.notion.com/p/3b5fd9fcb8cd818f8320ecaeaf058d64?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,이오영원장님 별말없다고함. 안물어본듯. 원장 대기환자 많아 다음에 시간맞춰 방문예정.,,완료
청주 율량유항외과 신규 아이템 소개,2025/12/10,신규 병원,세종충북,청주 율량유항외과 (https://app.notion.com/p/3b5fd9fcb8cd811ba8f9eda6142fe406?pvs=21),일반외과 원장,이재덕,영업완료,,면담 안 됨.,,완료
청주 가경유항외과 정보 수집,2025/12/10,신규 병원,세종충북,청주 가경유항외과 (https://app.notion.com/p/3b5fd9fcb8cd81199de2c5fc92a6f37f?pvs=21),일반외과 원장,이재덕,영업완료,,율량 유항외과 원장님 만나게해달라고 말했음. 기회되면 말해준다고함. 수술은 안하고 검진 중심이라 도움을 많이못줄거 같다고함.,,완료
청주 하임브릿지os 신규 아이템 소개,2025/12/09,신규 병원,세종충북,청주 하임브릿지정형외과 (https://app.notion.com/p/3b5fd9fcb8cd81a7a092f92fc847e997?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,블록 키트 디테일 설명. 사용계획은 현재 없음.,,완료
청주 프라우산부인과 정보 수집,2025/12/09,신규 병원,세종충북,청주 프라우산부인과 (https://app.notion.com/p/3b5fd9fcb8cd8188a2daf2930eb04eac?pvs=21),"관리팀 사무장, 구매",이재덕,영업완료,,바쁘다고해서 인사만하고 나옴.,,완료
